,layer,shape,size
850,features.denseblock4.denselayer11.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
851,features.denseblock4.denselayer11.conv1.attn_out.bias,torch.Size([4]),4
852,features.denseblock4.denselayer11.norm2.weight,torch.Size([128]),128
853,features.denseblock4.denselayer11.norm2.bias,torch.Size([128]),128
854,features.denseblock4.denselayer11.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
855,features.denseblock4.denselayer11.conv2.conv_out.bias,torch.Size([28]),28
856,features.denseblock4.denselayer11.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
857,features.denseblock4.denselayer11.conv2.qkv_conv.bias,torch.Size([84]),84
858,features.denseblock4.denselayer11.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
859,features.denseblock4.denselayer11.conv2.attn_out.bias,torch.Size([4]),4
860,features.denseblock4.denselayer12.norm1.weight,torch.Size([864]),864
861,features.denseblock4.denselayer12.norm1.bias,torch.Size([864]),864
862,features.denseblock4.denselayer12.conv1.conv_out.weight,"torch.Size([124, 864, 1, 1])",107136
863,features.denseblock4.denselayer12.conv1.conv_out.bias,torch.Size([124]),124
864,features.denseblock4.denselayer12.conv1.qkv_conv.weight,"torch.Size([84, 864, 1, 1])",72576
865,features.denseblock4.denselayer12.conv1.qkv_conv.bias,torch.Size([84]),84
866,features.denseblock4.denselayer12.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
867,features.denseblock4.denselayer12.conv1.attn_out.bias,torch.Size([4]),4
868,features.denseblock4.denselayer12.norm2.weight,torch.Size([128]),128
869,features.denseblock4.denselayer12.norm2.bias,torch.Size([128]),128
870,features.denseblock4.denselayer12.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
871,features.denseblock4.denselayer12.conv2.conv_out.bias,torch.Size([28]),28
872,features.denseblock4.denselayer12.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
873,features.denseblock4.denselayer12.conv2.qkv_conv.bias,torch.Size([84]),84
874,features.denseblock4.denselayer12.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
875,features.denseblock4.denselayer12.conv2.attn_out.bias,torch.Size([4]),4
876,features.denseblock4.denselayer13.norm1.weight,torch.Size([896]),896
877,features.denseblock4.denselayer13.norm1.bias,torch.Size([896]),896
878,features.denseblock4.denselayer13.conv1.conv_out.weight,"torch.Size([124, 896, 1, 1])",111104
879,features.denseblock4.denselayer13.conv1.conv_out.bias,torch.Size([124]),124
880,features.denseblock4.denselayer13.conv1.qkv_conv.weight,"torch.Size([84, 896, 1, 1])",75264
881,features.denseblock4.denselayer13.conv1.qkv_conv.bias,torch.Size([84]),84
882,features.denseblock4.denselayer13.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
883,features.denseblock4.denselayer13.conv1.attn_out.bias,torch.Size([4]),4
884,features.denseblock4.denselayer13.norm2.weight,torch.Size([128]),128
885,features.denseblock4.denselayer13.norm2.bias,torch.Size([128]),128
886,features.denseblock4.denselayer13.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
887,features.denseblock4.denselayer13.conv2.conv_out.bias,torch.Size([28]),28
888,features.denseblock4.denselayer13.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
889,features.denseblock4.denselayer13.conv2.qkv_conv.bias,torch.Size([84]),84
890,features.denseblock4.denselayer13.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
891,features.denseblock4.denselayer13.conv2.attn_out.bias,torch.Size([4]),4
892,features.denseblock4.denselayer14.norm1.weight,torch.Size([928]),928
893,features.denseblock4.denselayer14.norm1.bias,torch.Size([928]),928
894,features.denseblock4.denselayer14.conv1.conv_out.weight,"torch.Size([124, 928, 1, 1])",115072
895,features.denseblock4.denselayer14.conv1.conv_out.bias,torch.Size([124]),124
896,features.denseblock4.denselayer14.conv1.qkv_conv.weight,"torch.Size([84, 928, 1, 1])",77952
897,features.denseblock4.denselayer14.conv1.qkv_conv.bias,torch.Size([84]),84
898,features.denseblock4.denselayer14.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
899,features.denseblock4.denselayer14.conv1.attn_out.bias,torch.Size([4]),4
900,features.denseblock4.denselayer14.norm2.weight,torch.Size([128]),128
901,features.denseblock4.denselayer14.norm2.bias,torch.Size([128]),128
902,features.denseblock4.denselayer14.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
903,features.denseblock4.denselayer14.conv2.conv_out.bias,torch.Size([28]),28
904,features.denseblock4.denselayer14.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
905,features.denseblock4.denselayer14.conv2.qkv_conv.bias,torch.Size([84]),84
906,features.denseblock4.denselayer14.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
907,features.denseblock4.denselayer14.conv2.attn_out.bias,torch.Size([4]),4
908,features.denseblock4.denselayer15.norm1.weight,torch.Size([960]),960
909,features.denseblock4.denselayer15.norm1.bias,torch.Size([960]),960
910,features.denseblock4.denselayer15.conv1.conv_out.weight,"torch.Size([124, 960, 1, 1])",119040
911,features.denseblock4.denselayer15.conv1.conv_out.bias,torch.Size([124]),124
912,features.denseblock4.denselayer15.conv1.qkv_conv.weight,"torch.Size([84, 960, 1, 1])",80640
913,features.denseblock4.denselayer15.conv1.qkv_conv.bias,torch.Size([84]),84
914,features.denseblock4.denselayer15.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
915,features.denseblock4.denselayer15.conv1.attn_out.bias,torch.Size([4]),4
916,features.denseblock4.denselayer15.norm2.weight,torch.Size([128]),128
917,features.denseblock4.denselayer15.norm2.bias,torch.Size([128]),128
918,features.denseblock4.denselayer15.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
